arch,seed,dose,class,M0_test_recall,compressed_test_recall,recall_loss,validation_2sd_band,material_and_beyond_band
cnn1d,1,0.2,MITM-ArpSpoofing,0.08582863380025468,0.10056394396943788,-0.014735310169183197,0.07459414892841161,False
cnn1d,1,0.2,Mirai-udpplain,0.9916493416493416,0.9887387387387387,0.0029106029106028553,0.0030144583209302193,False
cnn1d,1,0.2,Mirai-greeth_flood,0.9844848073332202,0.9799354948226108,0.004549312510609416,0.015483301867355035,False
cnn1d,1,0.2,Mirai-greip_flood,0.9848966076496823,0.9768211920529801,0.008075415596702218,0.01286645097872988,False
cnn1d,1,0.2,DDoS-UDP_Fragmentation,0.990928870292887,0.9893891213389121,0.0015397489539749065,0.001461089802842454,False
cnn1d,1,0.2,DDoS-ACK_Fragmentation,0.8943407585791692,0.9221687069369189,-0.02782794835774971,0.0004267613327376908,False
cnn1d,1,0.2,VulnerabilityScan,0.7219993313273153,0.7345035105315948,-0.012504179204279486,0.08585360693926365,False
cnn1d,1,0.2,DDoS-ICMP_Fragmentation,0.9700614808874632,0.9684910451750869,0.0015704357123763613,0.0009734754201886736,False
cnn1d,1,0.2,BenignTraffic,0.7721184997161084,0.6787348451955513,0.09338365452055708,0.08575705286341911,False
cnn1d,1,0.5,Uploading_Attack,0.07446808510638298,0.0,0.07446808510638298,0.02854554864893348,False
cnn1d,1,0.5,Recon-PingSweep,0.0029411764705882353,0.0,0.0029411764705882353,0.0,False
cnn1d,1,0.5,Backdoor_Malware,0.037267080745341616,0.0,0.037267080745341616,0.03750541589535823,False
cnn1d,1,0.5,XSS,0.03119584055459272,0.0,0.03119584055459272,0.014908709301633669,False
cnn1d,1,0.5,SqlInjection,0.06861499364675985,0.0,0.06861499364675985,0.030357587108549838,False
cnn1d,1,0.5,CommandInjection,0.018541409147095178,0.0,0.018541409147095178,0.032744446919116224,False
cnn1d,1,0.5,BrowserHijacking,0.01611047180667434,0.0011507479861910242,0.014959723820483316,0.02777429715263441,False
cnn1d,1,0.5,DictionaryBruteForce,0.4433673469387755,0.3494897959183674,0.09387755102040812,0.050344329023276055,False
cnn1d,1,0.5,DDoS-SlowLoris,0.9558907228229937,0.9345475241889585,0.02134319863403522,0.03310488431469255,False
